profile_id,output_power,velocity,width,delta_length,distance,needle_length,specimen_temperature,estimated_energy
1,96.4045226130653,0.058333333,26.8949416342412,22.327687837276798,35,14,23.4,57.842713567839176
1,96.9242424242424,0.058333333,24.6060606060606,20.700042607584102,35,14,23.6,58.154545454545435
1,100.890563930765,0.058333333,27.8620689655172,20.545857260049203,35,14,23.2,60.534338358458996
1,101.372909698997,0.058333333,28.7846277021617,19.292020643112302,35,14,23.3,60.823745819398205
1,100.278220338983,0.058333333,31.4487249050461,21.184865744507697,35,14,24.0,60.166932203389806
1,96.4105139976595,0.058333333,28.9136842105263,21.043740095087102,35,14,23.5,57.8463083985957
1,101.101269056486,0.058333333,33.2209026128266,19.8427358068842,35,14,23.6,60.6607614338916
1,97.7073611111111,0.058333333,24.99173553719,20.202195791399802,35,14,23.6,58.624416666666654
1,98.3370158875184,0.058333333,29.5453047775947,20.1126380368098,35,14,23.6,59.002209532511046
2,99.4943883277217,0.116666667,23.1754756871035,15.358074534161403,35,14,23.9,29.848316498316507
2,99.5206935123042,0.116666667,30.3273839877613,15.9068379297317,35,14,23.9,29.85620805369126
2,100.368333333333,0.116666667,24.4454342984409,18.3663976522377,35,14,23.9,30.1104999999999
2,97.2959866220736,0.116666667,21.1379484588175,16.8807097017742,35,14,23.9,29.188795986622083
2,97.2761111111111,0.116666667,20.1806981519507,19.9001153402537,35,14,24.0,29.18283333333333
2,97.6550387596899,0.116666667,23.0381966186599,18.1225208526413,35,14,23.5,29.29651162790697
2,99.3984899328859,0.116666667,24.9939329992086,10.666851485148499,35,14,23.6,29.81954697986577
2,102.04596581876,0.116666667,21.647577092511,14.5874380165289,35,14,23.6,30.613789745627997
2,99.8127025444814,0.116666667,25.2694214876033,11.9252558329922,35,14,23.7,29.94381076334442
8,51.5572478991597,0.116666667,17.5413300186451,15.295619757688698,35,29,23.6,15.467174369747909
8,51.6152452619844,0.116666667,16.4158004158004,13.483662851196598,35,29,23.0,15.48457357859532
8,51.3683434343434,0.116666667,16.2711864406779,7.9947743467932995,35,29,23.7,15.410503030303019
8,51.5484177060406,0.116666667,16.9541284403669,12.2864618885096,35,29,24.1,15.46452531181218
8,52.0265659955257,0.116666667,17.9303944315545,12.551627906976698,35,29,23.5,15.60796979865771
8,57.0460750853242,0.116666667,19.2493896058597,17.1109243697478,35,19,24.4,17.113822525597257
8,57.1291946308725,0.116666667,19.2252548503781,15.7630679042501,35,19,25.3,17.13875838926175
8,57.0578002244669,0.116666667,18.7890921643079,14.824705279343902,35,19,25.3,17.117340067340074
8,57.1228813559322,0.116666667,19.538608198284,15.200568720379103,35,19,25.5,17.136864406779658
9,49.7607162865146,0.058333333,21.1751621872103,15.358685446009297,35,29,23.8,29.856429771908758
9,49.484392419175,0.058333333,21.2459016393442,15.191943957968398,35,29,24.1,29.690635451505
9,49.4326484018265,0.058333333,20.8449039881831,16.2745494505494,35,29,23.7,29.6595890410959
9,49.4317420435511,0.058333333,20.2749924947463,14.236721898790798,35,29,24.1,29.659045226130658
9,49.8220551378446,0.058333333,21.1425046267735,17.844029850746203,35,29,24.0,29.89323308270676
9,49.1797222222222,0.058333333,21.0564010743061,16.8708052181736,35,29,24.1,29.50783333333332
9,49.8116778149387,0.058333333,20.9116055321707,16.824179775280903,35,29,23.9,29.88700668896322
9,49.3890382819795,0.058333333,21.4865616311399,17.259040590405903,35,29,24.1,29.633422969187702
9,56.0091343451377,0.058333333,23.6636299929922,18.299741868869297,35,19,25.4,33.605480607082626
10,64.3023255813954,0.077777778,20.3225806451612,16.005230622919598,35,29,23.2,28.936046511627925
10,64.6283479183241,0.077777778,20.5961538461538,18.7541685649202,35,29,23.4,29.082756563245844
10,66.0591151792525,0.077777778,20.5574954846478,18.521897810218903,35,29,23.5,29.726601830663625
10,65.5885057471264,0.077777778,21.7267759562841,18.950800182898902,35,29,23.4,29.51482758620688
10,64.4669080346347,0.077777778,23.2400860743928,17.000371574547103,35,29,23.5,29.010108615585615
10,65.865811965812,0.077777778,21.9539514623522,19.0947761194029,35,29,23.7,29.6396153846154
10,66.7794007490637,0.077777778,23.625,16.6616487455197,35,29,23.7,30.050730337078665
10,66.109865470852,0.077777778,21.4137931034482,18.9689157747789,35,29,23.8,29.7494394618834
10,66.0037369207773,0.077777778,22.4713375796178,18.430848570088997,35,29,23.7,29.701681614349784
11,94.3933615819209,0.09722222222222222,25.4178674351585,21.1095652173913,35,19,25.6,33.981610169491525
